person_id,person,mood_parent,mood_child,mood_code,utterance_1,utterance_2,utterance_3
1,영화관에서 영화를 보고 나온 여자,기쁨,반가움,기쁨_반가움,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,즐거움,기쁨_즐거움,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,신명남,기쁨_신명남,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,자신감,기쁨_자신감,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,감동,기쁨_감동,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,만족감,기쁨_만족감,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,편안함,기쁨_편안함,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,고마움,기쁨_고마움,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,신뢰감,기쁨_신뢰감,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,안정감,기쁨_안정감,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,공감,기쁨_공감,,,
1,영화관에서 영화를 보고 나온 여자,기쁨,자랑스러움,기쁨_자랑스러움,,,
1,영화관에서 영화를 보고 나온 여자,사랑,호감,사랑_호감,,,
1,영화관에서 영화를 보고 나온 여자,사랑,귀중함,사랑_귀중함,,,
1,영화관에서 영화를 보고 나온 여자,사랑,매력적,사랑_매력적,,,
1,영화관에서 영화를 보고 나온 여자,사랑,두근거림,사랑_두근거림,,,
1,영화관에서 영화를 보고 나온 여자,사랑,아른거림,사랑_아른거림,,,
1,영화관에서 영화를 보고 나온 여자,사랑,너그러움,사랑_너그러움,,,
1,영화관에서 영화를 보고 나온 여자,사랑,열정적임,사랑_열정적임,,,
1,영화관에서 영화를 보고 나온 여자,사랑,다정함,사랑_다정함,,,
1,영화관에서 영화를 보고 나온 여자,사랑,동정(슬픔),사랑_동정(슬픔),,,
1,영화관에서 영화를 보고 나온 여자,슬픔,억울함,슬픔_억울함,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,외로움,슬픔_외로움,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,후회,슬픔_후회,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,실망,슬픔_실망,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,허망,슬픔_허망,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,그리움,슬픔_그리움,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,수치심,슬픔_수치심,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,고통,슬픔_고통,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,절망,슬픔_절망,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,무기력,슬픔_무기력,,,
1,영화관에서 영화를 보고 나온 여자,슬픔,아픔,슬픔_아픔,,,
1,영화관에서 영화를 보고 나온 여자,두려움,위축감,두려움_위축감,,,
1,영화관에서 영화를 보고 나온 여자,두려움,놀람,두려움_놀람,,,
1,영화관에서 영화를 보고 나온 여자,두려움,공포,두려움_공포,,,
1,영화관에서 영화를 보고 나온 여자,두려움,걱정,두려움_걱정,,,
1,영화관에서 영화를 보고 나온 여자,두려움,초조함,두려움_초조함,,,
1,영화관에서 영화를 보고 나온 여자,분노,원망,분노_원망,,,
1,영화관에서 영화를 보고 나온 여자,분노,불쾌,분노_불쾌,,,
1,영화관에서 영화를 보고 나온 여자,분노,날카로움,분노_날카로움,,,
1,영화관에서 영화를 보고 나온 여자,분노,타오름,분노_타오름,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),반감,미움(상대방)_반감,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),경멸,미움(상대방)_경멸,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),비위상함,미움(상대방)_비위상함,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),치사함,미움(상대방)_치사함,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),불신감,미움(상대방)_불신감,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),시기심,미움(상대방)_시기심,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),외면,미움(상대방)_외면,,,
1,영화관에서 영화를 보고 나온 여자,미움(상대방),냉담,미움(상대방)_냉담,,,
1,영화관에서 영화를 보고 나온 여자,욕망,욕심,욕망_욕심,,,
1,영화관에서 영화를 보고 나온 여자,욕망,궁금함,욕망_궁금함,,,
1,영화관에서 영화를 보고 나온 여자,욕망,아쉬움,욕망_아쉬움,,,
1,영화관에서 영화를 보고 나온 여자,욕망,불만,욕망_불만,,,
1,영화관에서 영화를 보고 나온 여자,욕망,갈등,욕망_갈등,,,
1,영화관에서 영화를 보고 나온 여자,욕망,기대감,욕망_기대감,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),답답함,싫어함(상태)_답답함,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),불편함,싫어함(상태)_불편함,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),난처함,싫어함(상태)_난처함,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),서먹함,싫어함(상태)_서먹함,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),심심함,싫어함(상태)_심심함,,,
1,영화관에서 영화를 보고 나온 여자,싫어함(상태),싫증,싫어함(상태)_싫증,,,
1,영화관에서 영화를 보고 나온 여자,수치심,부끄러움,수치심_부끄러움,,,
1,영화관에서 영화를 보고 나온 여자,수치심,죄책감,수치심_죄책감,,,
1,영화관에서 영화를 보고 나온 여자,수치심,미안함,수치심_미안함,,,
2,길에서 아는 사람을 만난 남자,기쁨,반가움,기쁨_반가움,,,
2,길에서 아는 사람을 만난 남자,기쁨,즐거움,기쁨_즐거움,,,
2,길에서 아는 사람을 만난 남자,기쁨,신명남,기쁨_신명남,,,
2,길에서 아는 사람을 만난 남자,기쁨,자신감,기쁨_자신감,,,
2,길에서 아는 사람을 만난 남자,기쁨,감동,기쁨_감동,,,
2,길에서 아는 사람을 만난 남자,기쁨,만족감,기쁨_만족감,,,
2,길에서 아는 사람을 만난 남자,기쁨,편안함,기쁨_편안함,,,
2,길에서 아는 사람을 만난 남자,기쁨,고마움,기쁨_고마움,,,
2,길에서 아는 사람을 만난 남자,기쁨,신뢰감,기쁨_신뢰감,,,
2,길에서 아는 사람을 만난 남자,기쁨,안정감,기쁨_안정감,,,
2,길에서 아는 사람을 만난 남자,기쁨,공감,기쁨_공감,,,
2,길에서 아는 사람을 만난 남자,기쁨,자랑스러움,기쁨_자랑스러움,,,
2,길에서 아는 사람을 만난 남자,사랑,호감,사랑_호감,,,
2,길에서 아는 사람을 만난 남자,사랑,귀중함,사랑_귀중함,,,
2,길에서 아는 사람을 만난 남자,사랑,매력적,사랑_매력적,,,
2,길에서 아는 사람을 만난 남자,사랑,두근거림,사랑_두근거림,,,
2,길에서 아는 사람을 만난 남자,사랑,아른거림,사랑_아른거림,,,
2,길에서 아는 사람을 만난 남자,사랑,너그러움,사랑_너그러움,,,
2,길에서 아는 사람을 만난 남자,사랑,열정적임,사랑_열정적임,,,
2,길에서 아는 사람을 만난 남자,사랑,다정함,사랑_다정함,,,
